condition,replication,topic,conflict_type,word_count,num_turns,negative_words,positive_words,conflict_phrases,resolution_phrases,negativity_pct,positivity_pct,sentiment_ratio,sarah_negativity,david_negativity
destructive_overheard,1,household chores,destructive,6562,40,142.0,40.0,15.0,3.0,2.063353676256902,0.5812263876780006,-0.5604395604395604,2.2346368715083798,1.8960068945705257
destructive_overheard,1,cleaning responsibilities,destructive,6964,40,125.0,26.0,16.0,1.0,1.7175048090134653,0.35724100027480077,-0.6556291390728477,2.0199561937211,1.3253392237298833
destructive_overheard,1,emotional support,destructive,6037,38,154.0,42.0,16.0,3.0,2.4134148252624983,0.6582040432534085,-0.5714285714285714,2.744546094299789,2.1474992935857586
destructive_overheard,1,childcare responsibilities,destructive,7084,30,101.0,70.0,16.0,5.0,1.3580744924028507,0.9412397472098966,-0.18128654970760233,1.1873350923482848,1.5355086372360844
destructive_overheard,14,major purchases,destructive,6307,34,92.0,51.0,13.0,4.0,1.3973268529769136,0.7746051032806804,-0.2867132867132867,1.3788575180564675,1.4132278123233466
destructive_overheard,14,laundry,destructive,13213,36,286.0,119.0,15.0,7.0,2.0526806861408167,0.8540874183592908,-0.4123456790123457,1.9617757103852766,2.274975272007913
destructive_overheard,14,bedtime routines,destructive,4842,36,109.0,41.0,15.0,2.0,2.1372549019607843,0.803921568627451,-0.4533333333333333,2.436781609195402,1.9145299145299146
destructive_overheard,14,parenting styles,destructive,4847,30,112.0,45.0,14.0,4.0,2.1930683375758764,0.8811435284903074,-0.4267515923566879,1.9171779141104295,2.4809923969587833
destructive_overheard,14,friends,destructive,3476,34,75.0,43.0,15.0,2.0,2.043596730245232,1.1716621253405994,-0.2711864406779661,1.981178801386825,2.1199273167777104
destructive_overheard,14,finances,destructive,5107,30,89.0,43.0,16.0,2.0,1.66137763673698,0.8026880716819115,-0.3484848484848485,1.6023544800523217,1.7398869073510224
destructive_overheard,14,communication,destructive,4980,36,109.0,42.0,13.0,4.0,2.094542659492698,0.8070714834742506,-0.44370860927152317,1.8211920529801324,2.33142037302726
destructive_overheard,14,in-laws,destructive,10548,34,171.0,77.0,12.0,2.0,1.533494753833737,0.6905210295040803,-0.3790322580645161,1.5474980232689484,1.4795474325500435
destructive_witnessed,1,decision making,destructive,6757,38,138.0,67.0,16.0,5.0,1.9646924829157177,0.9538724373576309,-0.3463414634146341,2.3391812865497075,1.6725798276735937
destructive_witnessed,1,discipline strategies,destructive,4305,30,109.0,46.0,14.0,2.0,2.383555652744369,1.0059042204242292,-0.4064516129032258,2.115987460815047,2.7214250371103414
destructive_witnessed,1,homework help,destructive,3539,34,66.0,40.0,11.0,2.0,1.7737167428110723,1.0749798441279226,-0.24528301886792453,1.6186140617096612,1.94954128440367
destructive_witnessed,1,spending habits,destructive,6005,36,124.0,34.0,19.0,2.0,1.9735795002387397,0.5411427661944931,-0.569620253164557,1.8470511989630591,2.0957147325617766
